time [s],Cell Voltage [V],SOC [%]
0,3.001,0
1,3.003,0.019179133
2,3.005,0.038358266
3,3.006,0.057537399
4,3.007,0.076716532
5,3.01,0.095895666
6,3.013,0.115074799
7,3.0145,0.134253932
8,3.016,0.153433065
9,3.017,0.172612198
10,3.018,0.191791331
11,3.022,0.210970464
12,3.026,0.230149597
13,3.0275,0.24932873
14,3.029,0.268507863
15,3.029,0.287686997
16,3.029,0.30686613
17,3.0345,0.326045263
18,3.04,0.345224396
19,3.04,0.364403529
20,3.04,0.383582662
21,3.04,0.402761795
22,3.04,0.421940928
23,3.0445,0.441120061
24,3.049,0.460299194
25,3.05,0.479478328
26,3.051,0.498657461
27,3.051,0.517836594
28,3.051,0.537015727
29,3.0545,0.55619486
30,3.058,0.575373993
31,3.06,0.594553126
32,3.062,0.613732259
33,3.062,0.632911392
34,3.062,0.652090526
35,3.0665,0.671269659
36,3.071,0.690448792
37,3.072,0.709627925
38,3.073,0.728807058
39,3.073,0.747986191
40,3.073,0.767165324
41,3.0785,0.786344457
42,3.084,0.80552359
43,3.084,0.824702723
44,3.084,0.843881857
45,3.084,0.86306099
46,3.084,0.882240123
47,3.0875,0.901419256
48,3.091,0.920598389
49,3.093,0.939777522
50,3.095,0.958956655
51,3.095,0.978135788
52,3.095,0.997314921
53,3.095,1.016494054
54,3.095,1.035673188
55,3.0985,1.054852321
56,3.102,1.074031454
57,3.104,1.093210587
58,3.106,1.11238972
59,3.106,1.131568853
60,3.106,1.150747986
61,3.1105,1.169927119
62,3.115,1.189106252
63,3.116,1.208285386
64,3.117,1.227464519
65,3.117,1.246643652
66,3.117,1.265822785
67,3.1205,1.285001918
68,3.124,1.304181051
69,3.126,1.323360184
70,3.128,1.342539317
71,3.128,1.36171845
72,3.128,1.380897583
73,3.128,1.400076717
74,3.128,1.41925585
75,3.1315,1.438434983
76,3.135,1.457614116
77,3.137,1.476793249
78,3.139,1.495972382
79,3.139,1.515151515
80,3.139,1.534330648
81,3.139,1.553509781
82,3.139,1.572688914
83,3.1425,1.591868048
84,3.146,1.611047181
85,3.148,1.630226314
86,3.15,1.649405447
87,3.15,1.66858458
88,3.15,1.687763713
89,3.152,1.706942846
90,3.154,1.726121979
91,3.156,1.745301112
92,3.158,1.764480245
93,3.1595,1.783659379
94,3.161,1.802838512
95,3.1655,1.822017645
96,3.17,1.841196778
97,3.168,1.860375911
98,3.166,1.879555044
99,3.168,1.898734177
100,3.17,1.91791331
101,3.171,1.937092443
102,3.172,1.956271577
103,3.172,1.97545071
104,3.172,1.994629843
105,3.1745,2.013808976
106,3.177,2.032988109
107,3.18,2.052167242
108,3.183,2.071346375
109,3.183,2.090525508
110,3.183,2.109704641
111,3.183,2.128883774
112,3.183,2.148062908
113,3.183,2.167242041
114,3.183,2.186421174
115,3.1855,2.205600307
116,3.188,2.22477944
117,3.191,2.243958573
118,3.194,2.263137706
119,3.194,2.282316839
120,3.194,2.301495972
121,3.194,2.320675105
122,3.194,2.339854239
123,3.1985,2.359033372
124,3.203,2.378212505
125,3.2095,2.397391638
126,3.216,2.416570771
127,3.2105,2.435749904
128,3.205,2.454929037
129,3.205,2.47410817
130,3.205,2.493287303
131,3.209,2.512466437
132,3.213,2.53164557
133,3.2145,2.550824703
134,3.216,2.570003836
135,3.216,2.589182969
136,3.216,2.608362102
137,3.216,2.627541235
138,3.216,2.646720368
139,3.2205,2.665899501
140,3.225,2.685078634
141,3.226,2.704257768
142,3.227,2.723436901
143,3.227,2.742616034
144,3.227,2.761795167
145,3.227,2.7809743
146,3.227,2.800153433
147,3.227,2.819332566
148,3.227,2.838511699
149,3.2295,2.857690832
150,3.232,2.876869965
151,3.235,2.896049099
152,3.238,2.915228232
153,3.238,2.934407365
154,3.238,2.953586498
155,3.238,2.972765631
156,3.238,2.991944764
157,3.24,3.011123897
158,3.242,3.03030303
159,3.245,3.049482163
160,3.248,3.068661297
161,3.2485,3.08784043
162,3.249,3.107019563
163,3.249,3.126198696
164,3.249,3.145377829
165,3.249,3.164556962
166,3.249,3.183736095
167,3.254,3.202915228
168,3.259,3.222094361
169,3.2595,3.241273494
170,3.26,3.260452628
171,3.26,3.279631761
172,3.26,3.298810894
173,3.26,3.317990027
174,3.26,3.33716916
175,3.26,3.356348293
176,3.26,3.375527426
177,3.264,3.394706559
178,3.268,3.413885692
179,3.2695,3.433064825
180,3.271,3.452243959
181,3.271,3.471423092
182,3.271,3.490602225
183,3.271,3.509781358
184,3.271,3.528960491
185,3.271,3.548139624
186,3.271,3.567318757
187,3.275,3.58649789
188,3.279,3.605677023
189,3.2805,3.624856157
190,3.282,3.64403529
191,3.282,3.663214423
192,3.282,3.682393556
193,3.282,3.701572689
194,3.282,3.720751822
195,3.282,3.739930955
196,3.282,3.759110088
197,3.287,3.778289221
198,3.292,3.797468354
199,3.292,3.816647488
200,3.292,3.835826621
201,3.2925,3.855005754
202,3.293,3.874184887
203,3.293,3.89336402
204,3.293,3.912543153
205,3.293,3.931722286
206,3.293,3.950901419
207,3.2985,3.970080552
208,3.304,3.989259685
209,3.304,4.008438819
210,3.304,4.027617952
211,3.304,4.046797085
212,3.304,4.065976218
213,3.304,4.085155351
214,3.304,4.104334484
215,3.304,4.123513617
216,3.304,4.14269275
217,3.3075,4.161871883
218,3.311,4.181051016
219,3.3115,4.20023015
220,3.312,4.219409283
221,3.313,4.238588416
222,3.314,4.257767549
223,3.3145,4.276946682
224,3.315,4.296125815
225,3.315,4.315304948
226,3.315,4.334484081
227,3.315,4.353663214
228,3.315,4.372842348
229,3.315,4.392021481
230,3.315,4.411200614
231,3.319,4.430379747
232,3.323,4.44955888
233,3.3245,4.468738013
234,3.326,4.487917146
235,3.326,4.507096279
236,3.326,4.526275412
237,3.326,4.545454545
238,3.326,4.564633679
239,3.328,4.583812812
240,3.33,4.602991945
241,3.333,4.622171078
242,3.336,4.641350211
243,3.3365,4.660529344
244,3.337,4.679708477
245,3.337,4.69888761
246,3.337,4.718066743
247,3.337,4.737245876
248,3.337,4.75642501
249,3.339,4.775604143
250,3.341,4.794783276
251,3.3425,4.813962409
252,3.344,4.833141542
253,3.346,4.852320675
254,3.348,4.871499808
255,3.348,4.890678941
256,3.348,4.909858074
257,3.348,4.929037208
258,3.348,4.948216341
259,3.348,4.967395474
260,3.348,4.986574607
261,3.3515,5.00575374
262,3.355,5.024932873
263,3.355,5.044112006
264,3.355,5.063291139
265,3.357,5.082470272
266,3.359,5.101649405
267,3.359,5.120828539
268,3.359,5.140007672
269,3.359,5.159186805
270,3.359,5.178365938
271,3.359,5.197545071
272,3.359,5.216724204
273,3.359,5.235903337
274,3.359,5.25508247
275,3.359,5.274261603
276,3.359,5.293440736
277,3.3625,5.31261987
278,3.366,5.331799003
279,3.3675,5.350978136
280,3.369,5.370157269
281,3.3695,5.389336402
282,3.37,5.408515535
283,3.37,5.427694668
284,3.37,5.446873801
285,3.3735,5.466052934
286,3.377,5.485232068
287,3.3755,5.504411201
288,3.374,5.523590334
289,3.376,5.542769467
290,3.378,5.5619486
291,3.379,5.581127733
292,3.38,5.600306866
293,3.3805,5.619485999
294,3.381,5.638665132
295,3.381,5.657844265
296,3.381,5.677023399
297,3.381,5.696202532
298,3.381,5.715381665
299,3.383,5.734560798
300,3.385,5.753739931
301,3.387,5.772919064
302,3.389,5.792098197
303,3.3905,5.81127733
304,3.392,5.830456463
305,3.392,5.849635596
306,3.392,5.86881473
307,3.392,5.887993863
308,3.392,5.907172996
309,3.392,5.926352129
310,3.392,5.945531262
311,3.392,5.964710395
312,3.392,5.983889528
313,3.392,6.003068661
314,3.392,6.022247794
315,3.395,6.041426928
316,3.398,6.060606061
317,3.4005,6.079785194
318,3.403,6.098964327
319,3.403,6.11814346
320,3.403,6.137322593
321,3.403,6.156501726
322,3.403,6.175680859
323,3.403,6.194859992
324,3.403,6.214039125
325,3.403,6.233218259
326,3.403,6.252397392
327,3.403,6.271576525
328,3.403,6.290755658
329,3.407,6.309934791
330,3.411,6.329113924
331,3.412,6.348293057
332,3.413,6.36747219
333,3.4135,6.386651323
334,3.414,6.405830456
335,3.414,6.42500959
336,3.414,6.444188723
337,3.414,6.463367856
338,3.414,6.482546989
339,3.414,6.501726122
340,3.414,6.520905255
341,3.4155,6.540084388
342,3.417,6.559263521
343,3.4175,6.578442654
344,3.418,6.597621787
345,3.4195,6.616800921
346,3.421,6.635980054
347,3.4225,6.655159187
348,3.424,6.67433832
349,3.4245,6.693517453
350,3.425,6.712696586
351,3.425,6.731875719
352,3.425,6.751054852
353,3.425,6.770233985
354,3.425,6.789413119
355,3.427,6.808592252
356,3.429,6.827771385
357,3.4305,6.846950518
358,3.432,6.866129651
359,3.434,6.885308784
360,3.436,6.904487917
361,3.436,6.92366705
362,3.436,6.942846183
363,3.436,6.962025316
364,3.436,6.98120445
365,3.436,7.000383583
366,3.436,7.019562716
367,3.436,7.038741849
368,3.436,7.057920982
369,3.436,7.077100115
370,3.436,7.096279248
371,3.4375,7.115458381
372,3.439,7.134637514
373,3.4375,7.153816647
374,3.436,7.172995781
375,3.4415,7.192174914
376,3.447,7.211354047
377,3.447,7.23053318
378,3.447,7.249712313
379,3.447,7.268891446
380,3.447,7.288070579
381,3.447,7.307249712
382,3.447,7.326428845
383,3.4505,7.345607979
384,3.454,7.364787112
385,3.4505,7.383966245
386,3.447,7.403145378
387,3.4525,7.422324511
388,3.458,7.441503644
389,3.4525,7.460682777
390,3.447,7.47986191
391,3.45,7.499041043
392,3.453,7.518220176
393,3.454,7.53739931
394,3.455,7.556578443
395,3.456,7.575757576
